headers	province	region
EPI_ISL_979956|B/Jiangxi-Donghu/32/2021|2021-01-13	Jiangxi	East
EPI_ISL_979957|B/Jiangxi-Donghu/37/2021|2021-01-13	Jiangxi	East
EPI_ISL_979958|B/Jiangxi-Donghu/35/2021|2021-01-13	Jiangxi	East
EPI_ISL_402347|B/Shanghai-Pudongxin/11420/2019|2019-09-04	Shanghai	East
EPI_ISL_410574|B/Anhui-Tianjiaan/11023/2019|2019-11-25	Anhui	East
EPI_ISL_410551|B/Henan-Hubin/1656/2019|2019-12-09	Henan	Central
EPI_ISL_485436|B/Henan-Hubin/138/2020|2020-01-14	Henan	Central
EPI_ISL_485406|B/Liaoning-Huanggu/1346/2020|2020-03-03	Liaoning	North
EPI_ISL_410559|B/Jiangxi-Xinzhou/1974/2019|2019-12-12	Jiangxi	East
EPI_ISL_3535257|B/Sichuan-Jingyang/12048/2019|2019-11-26	Sichuan	Southwest
