headers	province	region
EPI_ISL_4169579|B/Hubei-Shashi/1887/2021|2021-07-06	Hubei	Central
EPI_ISL_4169580|B/Sichuan-Gaoxin/1744/2021|2021-07-14	Sichuan	Southwest
EPI_ISL_4379579|B/Henan-Xigong/1118/2021|2021-02-17	Henan	Central
EPI_ISL_4379713|B/Gansu-Baiyin/1281/2021|2021-04-13	Gansu	Northwest
EPI_ISL_4379794|B/Gansu-Chengguan/1515/2021|2021-03-30	Gansu	Northwest
EPI_ISL_4520693|B/Shanghai-Fengxian/1749/2021|2021-08-25	Shanghai	East
EPI_ISL_4520695|B/Beijing-Chaoyang/12099/2021|2021-08-31	Beijing	North
EPI_ISL_4520696|B/Beijing-Chaoyang/11871/2021|2021-08-09	Beijing	North
EPI_ISL_4520697|B/Guangdong-Yuexiu/11326/2021|2021-08-17	Guangdong	South
EPI_ISL_4520699|B/Henan-Zhaoling/1359/2021|2021-08-22	Henan	Central
EPI_ISL_4520700|B/Zhejiang-Nanhu/1795/2021|2021-08-23	Zhejiang	East
EPI_ISL_4520701|B/Zhejiang-Fenghua/2290/2021|2021-08-22	Zhejiang	East
EPI_ISL_4520702|B/Zhejiang-Cixi/2525/2021|2021-08-09	Zhejiang	East
EPI_ISL_4520703|B/Zhejiang-Ninghai/2531/2021|2021-08-10	Zhejiang	East
EPI_ISL_4520705|B/Zhejiang-Haishu/11642/2021|2021-08-17	Zhejiang	East
EPI_ISL_4520706|B/Hubei-Xiaonan/11443/2021|2021-08-22	Hubei	Central
EPI_ISL_4520707|B/Hubei-Dangyang/2300/2021|2021-08-24	Hubei	Central
EPI_ISL_4520708|B/Hubei-Duodao/511/2021|2021-08-30	Hubei	Central
EPI_ISL_4520711|B/Hubei-Echeng/11358/2021|2021-08-24	Hubei	Central
EPI_ISL_4520712|B/Hubei-Xiangcheng/1790/2021|2021-08-17	Hubei	Central
EPI_ISL_4520713|B/Shanghai-Jingan/12767/2021|2021-08-05	Shanghai	East
EPI_ISL_4520714|B/Shanghai-Qingpu/1658/2021|2021-08-19	Shanghai	East
EPI_ISL_4520716|B/Shanghai-Changning/1900/2021|2021-08-04	Shanghai	East
EPI_ISL_4520717|B/Guangdong-Dongwanbendi/1674/2021|2021-08-26	Guangdong	South
